redux-actions,JavaScript,6300,320,mit,54,2015-07-01T21:08:45Z,1174,Flux Standard Action utilities for Redux.,https://github.com/redux-utilities/redux-actions,https://api.github.com/repos/redux-utilities/redux-actions/languages
vscodium,Shell,6294,210,mit,19,2018-08-13T14:26:58Z,3755,binary releases of VS Code without MS branding/telemetry/licensing,https://github.com/VSCodium/vscodium,https://api.github.com/repos/VSCodium/vscodium/languages
microservices-demo,C#,6293,1017,apache-2.0,34,2018-08-03T18:32:18Z,5193,"Sample cloud-native application with 10 microservices showcasing Kubernetes, Istio, gRPC and OpenCensus.",https://github.com/GoogleCloudPlatform/microservices-demo,https://api.github.com/repos/GoogleCloudPlatform/microservices-demo/languages
test-your-sysadmin-skills,null,6292,650,gpl-3.0,3,2018-08-09T12:58:39Z,1484,A collection of *nix Sysadmin Test Questions and Answers. Test your knowledge and skills in different fields with these Q/A.,https://github.com/trimstray/test-your-sysadmin-skills,https://api.github.com/repos/trimstray/test-your-sysadmin-skills/languages
examples,JavaScript,6292,2191,other,94,2016-11-12T02:14:55Z,10848,"Serverless Examples – A collection of boilerplates and examples of serverless architectures built with the Serverless Framework on AWS Lambda, Microsoft Azure, Google Cloud Functions, and more.",https://github.com/serverless/examples,https://api.github.com/repos/serverless/examples/languages
gotraining,Go,6288,1300,other,1,2014-07-01T23:12:46Z,100990,Go Training Class Material : ,https://github.com/ardanlabs/gotraining,https://api.github.com/repos/ardanlabs/gotraining/languages
puppeteer-recorder,JavaScript,6287,269,apache-2.0,5,2018-08-13T19:31:11Z,1486,Puppeteer recorder is a Chrome extension that records your browser interactions and generates a  Puppeteer script. ,https://github.com/checkly/puppeteer-recorder,https://api.github.com/repos/checkly/puppeteer-recorder/languages
AndResGuard,Java,6283,1183,apache-2.0,77,2015-10-11T11:48:06Z,8301,proguard resource for Android  by wechat team,https://github.com/shwenzhang/AndResGuard,https://api.github.com/repos/shwenzhang/AndResGuard/languages
cerebro,JavaScript,6283,408,mit,157,2016-07-03T14:42:01Z,3527,Open-source productivity booster with a brain,https://github.com/KELiON/cerebro,https://api.github.com/repos/KELiON/cerebro/languages
pyxel,C++,6277,320,mit,6,2018-06-10T04:58:54Z,71097,A retro game engine for Python,https://github.com/kitao/pyxel,https://api.github.com/repos/kitao/pyxel/languages
node-canvas,C++,6276,814,,163,2010-09-29T17:31:21Z,4118,Node canvas is a Cairo backed Canvas implementation for NodeJS.,https://github.com/Automattic/node-canvas,https://api.github.com/repos/Automattic/node-canvas/languages
react-native-scrollable-tab-view,JavaScript,6273,1862,,75,2015-06-11T05:01:07Z,7590,"Tabbed navigation that you can swipe between, each tab can have  its own ScrollView and maintain its own scroll position between swipes. Pleasantly animated. Customizable tab bar",https://github.com/ptomasroos/react-native-scrollable-tab-view,https://api.github.com/repos/ptomasroos/react-native-scrollable-tab-view/languages
comcast,Go,6272,277,apache-2.0,18,2014-11-12T03:15:58Z,74,Simulating shitty network connections so you can build better systems.,https://github.com/tylertreat/comcast,https://api.github.com/repos/tylertreat/comcast/languages
choo,JavaScript,6265,470,mit,39,2016-05-10T17:50:35Z,731,:steam_locomotive::train: - sturdy 4kb frontend framework,https://github.com/choojs/choo,https://api.github.com/repos/choojs/choo/languages
elastalert,Python,6264,1370,apache-2.0,1011,2014-11-24T19:39:19Z,3880,Easy & Flexible Alerting With ElasticSearch,https://github.com/Yelp/elastalert,https://api.github.com/repos/Yelp/elastalert/languages
react-transition-group,JavaScript,6262,505,other,111,2016-11-20T19:29:24Z,5826,An easy way to perform animations when a React component enters or leaves the DOM,https://github.com/reactjs/react-transition-group,https://api.github.com/repos/reactjs/react-transition-group/languages
bettercap,Go,6260,604,gpl-3.0,42,2018-01-07T15:30:41Z,14793,"The Swiss Army knife for 802.11, BLE and Ethernet networks reconnaissance and MITM attacks.",https://github.com/bettercap/bettercap,https://api.github.com/repos/bettercap/bettercap/languages
gunicorn,Python,6260,1198,other,277,2009-11-30T18:18:08Z,4014,"gunicorn 'Green Unicorn' is a WSGI HTTP Server for UNIX, fast clients and sleepy applications.",https://github.com/benoitc/gunicorn,https://api.github.com/repos/benoitc/gunicorn/languages
node-fs-extra,JavaScript,6255,558,mit,39,2011-11-16T21:50:51Z,1052,"Node.js: extra methods for the fs object like copy(), remove(), mkdirs()",https://github.com/jprichardson/node-fs-extra,https://api.github.com/repos/jprichardson/node-fs-extra/languages
loadCSS,JavaScript,6251,554,mit,20,2014-06-11T12:14:06Z,395,A function for loading CSS asynchronously,https://github.com/filamentgroup/loadCSS,https://api.github.com/repos/filamentgroup/loadCSS/languages
algorithms,null,6250,835,,50,2018-03-24T01:01:22Z,100622,"Bug-tracking for Jeff's algorithms book, notes, etc.",https://github.com/jeffgerickson/algorithms,https://api.github.com/repos/jeffgerickson/algorithms/languages
kotlin-native,Kotlin,6248,517,apache-2.0,210,2016-05-16T18:40:45Z,81964,Kotlin/Native infrastructure,https://github.com/JetBrains/kotlin-native,https://api.github.com/repos/JetBrains/kotlin-native/languages
ethereumbook,JavaScript,6244,1697,other,70,2016-08-10T15:07:54Z,23254,"Mastering Ethereum, by Andreas M. Antonopoulos, Gavin Wood",https://github.com/ethereumbook/ethereumbook,https://api.github.com/repos/ethereumbook/ethereumbook/languages
autokeras,Python,6244,1011,other,37,2017-11-19T23:18:20Z,70451,Accessible AutoML for deep learning.,https://github.com/keras-team/autokeras,https://api.github.com/repos/keras-team/autokeras/languages
react-apollo,TypeScript,6238,782,mit,98,2016-04-13T23:14:51Z,14295,:recycle: React integration for Apollo Client,https://github.com/apollographql/react-apollo,https://api.github.com/repos/apollographql/react-apollo/languages
easy-application,null,6237,869,mit,35,2016-01-05T18:32:42Z,287,Over 400 software engineering companies that are easy to apply to,https://github.com/j-delaney/easy-application,https://api.github.com/repos/j-delaney/easy-application/languages
flag-icon-css,HTML,6236,884,mit,31,2013-09-25T16:39:58Z,25740,:flags: A collection of all country flags in SVG — plus the CSS for easier integration,https://github.com/lipis/flag-icon-css,https://api.github.com/repos/lipis/flag-icon-css/languages
DataTables,CSS,6233,1921,other,123,2010-05-16T07:02:32Z,11610,Tables plug-in for jQuery,https://github.com/DataTables/DataTables,https://api.github.com/repos/DataTables/DataTables/languages
rustlings,Rust,6232,635,mit,18,2015-09-15T02:25:18Z,437,Small exercises to get you used to reading and writing Rust code!,https://github.com/rust-lang/rustlings,https://api.github.com/repos/rust-lang/rustlings/languages
kotlinx.coroutines,Kotlin,6225,815,other,250,2016-06-22T13:49:21Z,15447,Library support for Kotlin coroutines ,https://github.com/Kotlin/kotlinx.coroutines,https://api.github.com/repos/Kotlin/kotlinx.coroutines/languages
umd,JavaScript,6225,407,mit,44,2011-10-21T14:08:25Z,47,UMD (Universal Module Definition) patterns for JavaScript modules that work everywhere.,https://github.com/umdjs/umd,https://api.github.com/repos/umdjs/umd/languages
JSONKit,Objective-C,6223,1724,,107,2010-07-27T10:06:21Z,1191,Objective-C JSON,https://github.com/johnezang/JSONKit,https://api.github.com/repos/johnezang/JSONKit/languages
jazzy,Ruby,6221,344,mit,128,2014-06-06T05:52:11Z,72184,Soulful docs for Swift & Objective-C,https://github.com/realm/jazzy,https://api.github.com/repos/realm/jazzy/languages
DCGAN-tensorflow,JavaScript,6215,2478,mit,168,2015-12-11T02:06:40Z,79854,"A tensorflow implementation of ""Deep Convolutional Generative Adversarial Networks""",https://github.com/carpedm20/DCGAN-tensorflow,https://api.github.com/repos/carpedm20/DCGAN-tensorflow/languages
theia,TypeScript,6214,775,other,1182,2017-02-24T14:42:05Z,126761,Eclipse Theia is a cloud & desktop IDE framework implemented in TypeScript.,https://github.com/eclipse-theia/theia,https://api.github.com/repos/eclipse-theia/theia/languages
word_cloud,Python,6212,1714,mit,69,2012-11-04T22:57:59Z,76808,A little word cloud generator in Python,https://github.com/amueller/word_cloud,https://api.github.com/repos/amueller/word_cloud/languages
quickstart-android,Java,6210,6099,apache-2.0,57,2016-04-26T17:13:27Z,28153,Firebase Quickstart Samples for Android,https://github.com/firebase/quickstart-android,https://api.github.com/repos/firebase/quickstart-android/languages
react-native-snap-carousel,JavaScript,6205,1121,bsd-3-clause,119,2016-10-11T07:22:24Z,940,"Swiper/carousel component for React Native with previews, multiple layouts, parallax images, performant handling of huge numbers of items, and RTL support. Compatible with Android & iOS.",https://github.com/archriss/react-native-snap-carousel,https://api.github.com/repos/archriss/react-native-snap-carousel/languages
MonoGame,C#,6205,2307,other,752,2011-04-07T00:23:40Z,81110,One framework for creating powerful cross-platform games.,https://github.com/MonoGame/MonoGame,https://api.github.com/repos/MonoGame/MonoGame/languages
stats.js,JavaScript,6202,974,mit,22,2010-04-08T11:54:17Z,32607,JavaScript Performance Monitor,https://github.com/mrdoob/stats.js,https://api.github.com/repos/mrdoob/stats.js/languages
fuzzywuzzy,Python,6200,667,gpl-2.0,63,2011-07-08T19:32:34Z,322,Fuzzy String Matching in Python,https://github.com/seatgeek/fuzzywuzzy,https://api.github.com/repos/seatgeek/fuzzywuzzy/languages
